authors	year	title	journal	publication_type	volume	issue	pages	doi	zenodoId	zenodoDoi	id	contentId	zenodoResponseCorpusId
van der Wulp, F.M.	1896	Catalogue of the described Diptera from South Asia. 222 pp.		Book					10773482	https://doi.org/10.5281/zenodo.10773482	urn:lsid:taxodros.uzh.ch:id:wulp%2C%201896	hash://md5/3bd1d1159b274c7d902c49647071fee8	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wheeler, T.A.	2010	Camillidae (camllid flies) In: Brown, B.V. et al., Manual of Central American Diptera, Vol. 2, pp. 1193-1195.		Book chapter					10773007	https://doi.org/10.5281/zenodo.10773007	urn:lsid:taxodros.uzh.ch:id:wheeler%2C%202010	hash://md5/2d88ef5e285d154560f86a31180f6ce7	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Winans, N.J. | Walter, A.	2017	A genomic investigation of ecological differentiation between free-living and Drosophila-associated bacteria.	Molec. Ecol.	Journal article	26	17	4536Ð4550	https://doi.org/10.1111/mec.14232	10773239		urn:lsid:taxodros.uzh.ch:id:winans%20et%20al.%2C%202017	hash://md5/21788193c7c71b3ae4cb401d28677c10	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wang, Q.	2021	Behavioral and physiological responses of Drosophila melanogaster and D. suzukii to volatiles from plant essential oils.	Pest Management Science	Journal article	77		3698Ð3705	https://doi.org/10.1002/ps.6282	10772417		urn:lsid:taxodros.uzh.ch:id:wang%20et%20al.%2C%202021c	hash://md5/cd62f409ecd5c25a0d9c38da4c2d948d	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wheeler, M.R. | Takada, H.	1964	Insects of Micronesia. Diptera: Drosophilidae.	Bernice P. Bishop Museum Special Publication	Journal article	14	6	163-242		10772913	https://doi.org/10.5281/zenodo.10772913	urn:lsid:taxodros.uzh.ch:id:wheeler%20%26%20takada%2C%201964	hash://md5/ca225d863f792d619b50bf18b19799c8	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Watabe, H.-a.	1984	Microdistribution and Phenology in Domestic Species of Drosophila in and near a Brewery in Sapporo, Northern Japan.	Journal of Hokkaido University of Education [Hokkaido Kyoiku Daigaku Kiyo]	Journal article	34	Sect.2B	41-52		10772612	https://doi.org/10.5281/zenodo.10772612	urn:lsid:taxodros.uzh.ch:id:watabe%2C%201984a	hash://md5/84c18ad6afc95606a3864176640c8541	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wolf, S. | Baur, H. | Collatz, J.	2019	Life history of Vrestovia fidenas, a potential control agent of Drosophila suzukii.	BioControl. Journal of the International Organization for Biological Control	Journal article	64		263-275	https://doi.org/10.1007/s10526-019-09933-5	10773348		urn:lsid:taxodros.uzh.ch:id:wolf%20et%20al.%2C%202019	hash://md5/b9c1204cb6e3e12f7166374384adfd17	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Weisser, W.W. | Zhang, Z.Q.	1996	Infestation of Drosophila cultures (Diptera: Drosophilidae) by mites of Proctolaelaps (Acari: Ascidae) and experiments on mite feeding habits.	Systematic and Applied Acarology	Journal article	1		41-44		10772794	https://doi.org/10.5281/zenodo.10772794	urn:lsid:taxodros.uzh.ch:id:weisser%20%26%20zhang%2C%201996	hash://md5/6cdc1b595cfec097ab98408eaa8b139f	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wilson, J.K.	2022	Predicting the Risk of Tart Cherry (Prunus cerasus) Infestation by Drosophila suzukii (Diptera: Drosophilidae).	Journal of Economic Entomology	Journal article	115	4	1024Ð1028	https://doi.org/10.1093/jee/toac024	10773225		urn:lsid:taxodros.uzh.ch:id:wilson%20et%20al.%2C%202022	hash://md5/0f3955ae22da47157734541ac181722d	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wallace, B. | Dobzhansky, T.	1946	Experiments on sexual isolation in Drosophila. VII. Influence of light on the mating behavior of Drosophila subobscura, Drosophila persimilis and Drosophila pseudoobscura.	Proceedings of the National Academy of Sciences of the United States of America	Journal article	32		226-234		10772288	https://doi.org/10.5281/zenodo.10772288	urn:lsid:taxodros.uzh.ch:id:wallace%20%26%20dobzhansky%2C%201946	hash://md5/996e188ef77dd4d72f15816679543348	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
